Année,Mois,Ouverture,Haut,Bas,Clôture,Volume
2020,1,7190.6005,9574.4994,6870.7240,9350.8328,2343316
2020,2,9350.4719,10503.1782,8440.7014,8525.9295,2318820
2020,3,8527.1303,9195.2664,3836.9059,6413.0223,5955546
2020,4,6415.3477,9461.1138,6153.4737,8623.0469,3525791
2020,5,8621.6808,10067.3335,8125.3912,9448.1873,3749452
2020,6,9447.6846,10391.0564,8830.0489,9137.3813,1822480
2020,7,9137.7768,11409.1924,8894.1774,11316.7118,2090917
2020,8,11339.5070,12473.7167,10501.7572,11651.5191,2652370
2020,9,11651.6586,12082.5735,9829.6734,10777.5652,2239835
2020,10,10778.5667,14095.4493,10373.3569,13792.6877,2076184
2020,11,13791.9395,19864.1080,13196.7779,19698.7998,3588646
2020,12,19690.2167,29302.5743,17577.4279,28975.3544,3182661
2021,1,28907.9720,41838.8594,28650.1586,33097.0470,4837348
2021,2,33103.3254,58356.6750,32301.8057,45172.9719,3404438
2021,3,45167.0276,61816.1700,44981.7418,58759.3187,3319120
2021,4,58752.3308,64857.5660,47191.3736,57714.1420,2612519
2021,5,57714.8887,59543.4809,30417.1537,37261.0434,3816642
2021,6,37259.6308,41326.0599,28914.5776,35047.9656,3689862
2021,7,35049.3857,42282.0739,29287.3809,41463.2239,2341555
2021,8,41465.7640,50506.3222,37457.5947,47108.3120,2050320
2021,9,47107.3214,52919.1874,40005.1597,43824.1351,1914648
2021,10,43824.8211,66975.4394,43287.8119,61309.7921,1997011
2021,11,61312.3712,68990.6665,53476.3446,56960.6336,1478996
2021,12,56954.2726,59058.8131,44149.6096,46213.7943,1648987
2022,1,46213.3587,47986.2583,33004.2478,38478.9635,1698143
2022,2,38478.3672,45788.0957,34375.4947,43174.2465,1582198
2022,3,43174.3097,48195.7223,37185.1930,45525.5703,1765963
2022,4,45525.8535,47425.5446,37619.7000,37648.2471,1137759
2022,5,37705.9179,39982.2824,26376.9382,31776.8853,1693351
2022,6,31777.7932,31955.3012,17610.4640,19823.8485,1596868
2022,7,19854.2572,24670.2380,18818.1811,23327.1256,2154363
2022,8,23297.5119,25195.6562,19516.4113,20049.9745,4465525
2022,9,20048.6276,22802.8416,18134.5190,19423.0733,11006467
2022,10,19422.7046,21090.4258,18231.9419,20490.8274,8439688
2022,11,20490.7697,21478.4353,15456.0263,17160.8956,10514364
2022,12,17157.8188,18388.6253,16260.6706,16535.0886,6731324
2023,1,16534.7585,23965.2359,16492.2879,23129.7124,9062386
2023,2,23129.6073,25253.6919,21364.0250,23143.8664,9299822
2023,3,23144.2781,29189.8224,19550.7932,28477.8391,10546340
2023,4,28477.9053,31034.7856,26969.4910,29253.4291,1779507
2023,5,29247.4795,29867.7638,25816.3449,27222.1636,471150
2023,6,27221.9163,31440.2735,24753.9969,30470.7538,505820
2023,7,30473.4434,31856.8294,28859.0591,29232.6776,341658
2023,8,29233.9026,30223.9704,25128.1472,25939.0519,372050
2023,9,25935.5653,27500.0541,24903.0946,26963.0708,347036
2023,10,26964.0182,35159.2684,26527.3197,34658.4755,518192
2023,11,34658.5646,38474.5737,34087.6994,37729.5906,502274
2023,12,37732.2045,44840.6065,37619.2432,42284.7414,536867
2024,1,42284.7985,49055.6376,38509.1008,42552.5938,767049
2024,2,42549.1366,64043.1480,41851.7434,61174.1548,585263
2024,3,61174.0376,73812.8208,59205.4392,71309.2369,948882
2024,4,71302.2484,72769.8844,59067.2214,60636.8198,602984
2024,5,60642.7011,71965.7975,56521.7770,67479.8051,440033
2024,6,67488.7415,71963.2322,58433.7926,62689.4414,379823
2024,7,62680.1992,70011.6646,53481.9737,64615.7788,473674
2024,8,64617.9204,65596.3961,49119.8297,59017.4228,472988
2024,9,58997.9922,66542.3034,52555.1342,63314.3693,359154
2024,10,63317.1173,73611.7879,58919.4223,70205.1188,390586
2024,11,70203.7695,99815.8387,66791.8510,96464.5682,767575
2024,12,96469.4654,108353.1197,91312.4134,93390.5555,578242
2025,1,93376.2698,109349.9753,89116.8579,102409.6846,509426
2025,2,102415.4928,102773.0727,10000.0000,95570.0364,179596
