Année,Mois,Ouverture,Haut,Bas,Clôture,Volume
2020,1,323.5400,332.9500,320.3600,321.7300,1389179454
2020,2,323.3500,339.0800,285.5400,296.2600,2099672006
2020,3,298.2100,313.8400,218.2600,257.7500,5888710884
2020,4,247.9800,294.8800,243.9000,290.4800,2798273802
2020,5,285.3100,306.8400,272.9900,304.3200,1901783412
2020,6,303.6200,323.4100,296.7400,308.3600,2347940437
2020,7,309.5700,327.2300,309.0700,326.5200,1502719470
2020,8,328.3200,351.3000,327.7300,349.3100,1044798905
2020,9,350.2100,358.7500,319.8000,334.8900,1815146487
2020,10,337.6900,354.0200,322.6000,326.5400,1629408336
2020,11,330.2000,364.3800,327.2400,362.0600,1534447743
2020,12,365.5700,378.4600,362.0300,373.8800,1342397107
2021,1,375.3100,385.8500,364.8200,370.0700,1400691918
2021,2,373.7200,394.1700,370.3760,380.3600,1297509572
2021,3,385.5900,398.1200,371.8800,396.3300,2401881132
2021,4,398.4000,420.7200,398.1800,417.3000,1462173411
2021,5,419.4300,422.8150,404.0000,420.0400,1527034281
2021,6,422.5700,428.7800,414.7000,428.0600,1281016394
2021,7,428.8700,441.8000,421.9700,438.5100,1420579578
2021,8,440.3400,453.0700,436.1000,451.5600,1253428256
2021,9,452.5600,454.0500,428.7800,429.1400,1745953627
2021,10,430.9800,459.5600,426.3600,459.2500,1508665331
2021,11,460.3000,473.5400,455.3000,455.5600,1329958701
2021,12,461.6400,479.0000,448.9200,474.9600,1926485453
2022,1,476.3000,479.9800,420.7600,449.9100,2478637614
2022,2,450.6800,458.1200,410.6400,436.6300,2295905184
2022,3,435.0400,462.0700,415.1200,451.6400,2374192157
2022,4,453.3100,457.8300,411.2100,412.0000,1850850552
2022,5,412.0700,429.6600,380.5400,412.9300,2415337241
2022,6,415.1700,417.4400,362.1700,377.2500,1958752731
2022,7,376.5600,413.0300,371.0400,411.9900,1437748370
2022,8,409.1500,431.7300,395.0400,395.1800,1442452663
2022,9,392.8900,411.7300,357.0400,357.1800,1995062808
2022,10,361.0800,389.5200,348.1100,386.2100,2024731829
2022,11,390.1400,407.6800,368.7900,407.6800,1746114943
2022,12,408.7700,410.4900,374.7700,382.4300,1735973711
2023,1,384.3700,408.1600,377.8310,406.4800,1575449950
2023,2,405.2110,418.3100,393.6400,396.2600,1603224252
2023,3,395.4100,409.7000,380.6500,409.3900,2516860295
2023,4,408.8500,415.9400,403.7800,415.9300,1392713656
2023,5,415.4700,422.5800,403.7400,417.8500,1776447412
2023,6,418.0900,444.3000,416.7900,443.2800,1749958214
2023,7,442.9200,459.4400,437.0600,457.7900,1374774872
2023,8,456.2700,457.2500,433.0100,450.3500,1755315375
2023,9,453.1700,453.6700,422.2900,427.4800,1589390585
2023,10,426.6200,438.1400,409.2100,418.2000,1999352275
2023,11,419.2000,458.3200,418.6499,456.4000,1500345254
2023,12,455.7700,477.5500,454.3100,475.3100,1634337932
2024,1,472.1600,491.6200,466.4300,482.8800,1698148385
2024,2,484.6300,510.1300,483.8000,508.0800,1393617806
2024,3,508.9800,524.6100,504.9100,523.0700,1463191348
2024,4,523.8300,524.3800,493.8600,501.9800,1586426473
2024,5,501.3800,533.0700,499.5500,527.3700,1153296957
2024,6,529.0200,550.2800,522.6000,544.2200,888923206
2024,7,545.6300,565.1600,537.4500,550.8100,1038489736
2024,8,552.5700,564.2000,510.2700,563.6800,1244598926
2024,9,560.4700,574.7100,539.4400,573.7600,1044167074
2024,10,573.4000,586.1200,565.2700,568.6400,976134821
2024,11,571.3200,603.3500,567.8900,602.5500,901761281
2024,12,602.9700,609.0700,580.9100,586.0800,1059636545
2025,1,589.3900,610.7800,575.3500,601.8200,995605958
2025,2,592.6700,608.1300,590.4900,605.3100,272633685
